type,name,pos,height
초경량비행장치 비행공역,UA 2 구성산,354421N1270027E 반경 1.8 KM (1.0 NM),500FT AGL
초경량비행장치 비행공역,UA 3 약산,354421N1282502E 반경 0.7 KM (0.4NM),500FT AGL
초경량비행장치 비행공역,UA 4 봉화산,353731N1290532E 반경 4.0 KM (2.2NM),500FT AGL
초경량비행장치 비행공역,UA 5 덕두산,352441N1273157E 반경 4.5 KM (2.4 NM),500FT AGL
초경량비행장치 비행공역,UA 6 금산,344411N1275852E 반경 2.1 KM (1.1 NM),500FT AGL
초경량비행장치 비행공역,UA 7 홍산,354941N1270452E 반경 1.2 KM (0.7 NM),500FT AGL
초경량비행장치 비행공역,UA 9 양평,"373010N1272300E -
373010N 1273200E -
372700N 1273200E -
372700N 1272300E -",500FT AGL
초경량비행장치 비행공역,UA 10 고창,352311N1264353E 반경 4.0 KM (2.2 NM),500FT AGL
초경량비행장치 비행공역,UA 14 공주,"363225N 1265614E -
363045N 1265746E -
363002N 1270713E -
362604N 1270553E -
362805N 1265427E -
363141N 1265417E -",500FT AGL
초경량비행장치 비행공역,UA 19 시화,"371751N 1264215E -
371724N 1265000E -
371430N 1265000E -
371315N 1264628E -
371245N 1264029E -
371244N 1263342E -
371414N 1263319E -",500FT AGL
초경량비행장치 비행공역,UA 20 성화대,344157N 1263101E 반경 5.4 KM (3 NM),500FT AGL
초경량비행장치 비행공역,UA 21 방장산,352658N1264417E 반경 3.0 KM (1.6 NM),500FT AGL
초경량비행장치 비행공역,UA 22 고흥,343640N1271221E 반경 5.6 KM (3.0 NM),500FT AGL
초경량비행장치 비행공역,UA 23 담양,352030N1270148E 반경 5.6 KM (3.0 NM),500FT AGL
초경량비행장치 비행공역,UA 24 구좌,332841N1264922E 반경 2.8 KM (1.5 NM),500FT AGL
초경량비행장치 비행공역,UA 25 하동,"350147N 1274325E -
350145N 1274741E -
345915N 1274739E -
345916N 1274324E -",500FT AGL
초경량비행장치 비행공역,UA 26 장암산,"372338N 1282419E -
372410N 1282810E -
372153N 1282610E -
372211N 1282331E -",500FT AGL
초경량비행장치 비행공역,UA 27 마악산,331800N1263316E 반경 1.2 KM (0.7 NM),500FT AGL
초경량비행장치 비행공역,UA 28 서운산,365550N1271659E 반경 2.0KM(1.1NM),500FT AGL
초경량비행장치 비행공역,UA 29 오촌,365711N1271716E 반경 2.0KM(1.1NM),500FT AGL
초경량비행장치 비행공역,UA 30 북좌,370242N1271940E 반경 2.0KM(1.1NM),500FT AGL
초경량비행장치 비행공역,*UA 31 청라,"373354N 1263730E -
373400N 1263744E -
373351N 1263750E -
373345N 1263736E -",500FT AGL
초경량비행장치 비행공역,*UA 32 퇴촌,372800N 1271809E 반경 0.3KM(0.2NM),500FT AGL
초경량비행장치 비행공역,*UA 33 병천천,"363904N 1272103E -
363902N 1272111E -
363850N 1272106E -
363852N 1272059E -",500FT AGL
초경량비행장치 비행공역,*UA 34 미호천,"363710N 1272048E -
363705N 1272105E -
363636N 1272049E -
363650N 1272033E -",500FT AGL
초경량비행장치 비행공역,*UA 35 김해,"352057N 1284815E -
352101N 1284825E -
352047N 1284833E -
352043N 1284823E -",500FT AGL
초경량비행장치 비행공역,*UA 36 밀양,"352801N 1284642E -
352729N 1284714E -
352717N 1284659E -
352750N 1284627E -",500FT AGL
초경량비행장치 비행공역,*UA 37 창원,"352238N 1283856E -
352238N 1283931E -
352216N 1283931E -
352213N 1283921E -
352213N 1283856E -",500FT AGL
초경량비행장치 비행공역,*UA 38 울주,"353129N 1290947E -
353128N 1290957E -
353130N 1291001E -
353126N 1291003E -
353124N 1291001E -
353125N 1290946E -",500FT AGL
초경량비행장치 비행공역,*UA 39 김제,"355435N 1265304E -
355454N 1265257E -
355458N 1265339E -
355437N 1265420E -
355420N 1265408E -
355439N 1265331E -",500FT AGL
초경량비행장치 비행공역,*UA 40 고령,355034N1282639E 반경 80 m(0.05 NM),500FT AGL
